ticker
FEYE
ATEC
SLAB
CMRX
NVCR
FNLC
NMRK
SCOR
AGLE
FARO
OLMA
TSLA
FRTA
AKTX
KLXE
CVCO
NVCN
EXAS
SDC
BBQ
IFRX
CIIC
BBI
FNKO
TWST
FARM
ACCD
NMRD
FRSX
OPTT
DIS
WMT
DOW
CRM
NKE
HD
V
MSFT
MMM
CSCO
KO
AAPL
HON
JNJ
TRV
PG
CVX
VZ
CAT
BA
AMGN
IBM
AXP
JPM
WBA
MCD
MRK
GS
UNH
INTC
